JOIN_SN,is_applied
1571447,1
109435,1
1302487,1
1209039,1
989988,1
300435,1
1856500,1
1467876,1
375872,1
559493,1
1400060,1
492072,1
776969,1
968124,1
1697363,1
44551,1
954245,1
1572465,1
349044,1
984612,1
494258,1
432291,1
308932,1
1914135,1
1111395,1
1890722,1
108940,1
428925,1
253927,1
656623,1
849652,1
49170,1
1190976,1
994541,1
18027,1
1844015,1
1947535,1
283879,1
240680,1
1287026,1
1001603,1
1511348,1
1940757,1
1129006,1
182814,1
754422,1
726987,1
1206031,1
1608749,1
132554,1
605711,1
594701,1
1799467,1
402765,1
564209,1
256530,1
1622510,1
793735,1
552329,1
535911,1
347344,1
949373,1
427343,1
1121874,1
1253574,1
1284853,1
1325883,1
1003154,1
904042,1
1283810,1
1774851,1
302200,1
787330,1
1109543,1
875136,1
339734,1
1832130,1
1304115,1
1453271,1
33778,1
803400,1
137995,1
5414,1
1385896,1
521542,1
396111,1
406939,1
1308071,1
1365766,1
1919598,1
261490,1
354997,1
822611,1
1937614,1
1542532,1
996156,1
1384310,1
1666411,1
869622,1
256847,1
1912220,1
328284,1
94806,1
1687282,1
1012755,1
172236,1
457589,1
1014534,1
645994,1
1802958,1
808746,1
689011,1
408929,1
1625574,1
131320,1
1555154,1
183413,1
1947250,1
700844,1
531836,1
1797215,1
1488211,1
534754,1
1497720,1
1807685,1
521861,1
1652692,1
839368,1
1032383,1
1839527,1
983814,1
505395,1
786208,1
1791452,1
700388,1
1589548,1
843222,1
317547,1
853088,1
65634,1
362395,1
733463,1
218149,1
668457,1
421038,1
956923,1
830017,1
1102357,1
1853552,1
1511959,1
740233,1
1612222,1
1064442,1
488545,1
439991,1
336381,1
1430584,1
1297760,1
1632750,1
888724,1
223290,1
356360,1
1838829,1
460278,1
1383434,1
1293383,1
72057,1
1550828,1
1291675,1
1936587,1
1013156,1
814270,1
1303642,1
1371806,1
379551,1
1923224,1
509768,1
1676850,1
1737032,1
1534988,1
1398325,1
1820158,1
1173742,1
1738701,1
1570089,1
1705083,1
1897420,1
930389,1
898429,1
1283785,1
1065238,1
959414,1
729637,1
686850,1
620568,1
1582974,1
120998,1
44197,1
1418084,1
245466,1
650366,1
1564951,1
437474,1
126492,1
647878,1
983810,1
331559,1
271709,1
1813336,1
984631,1
1077262,1
1349750,1
405385,1
626465,1
1410281,1
25709,1
1185090,1
784882,1
925082,1
1847578,1
1173712,1
1538139,1
1353470,1
230976,1
1509307,1
1559478,1
1890975,1
1074535,1
404782,1
1390609,1
871762,1
455023,1
1399956,1
1844091,1
130526,1
1954282,1
1255765,1
775621,1
1212840,1
677906,1
1175587,1
1792136,1
1107698,1
271176,1
750608,1
352295,1
248290,1
71153,1
574535,1
1034280,1
1403086,1
275511,1
608025,1
1094511,1
1790853,1
974773,1
421525,1
1855216,1
591947,1
772441,1
1191264,1
8366,1
96524,1
1212254,1
1239373,1
1436599,1
1049155,1
1894249,1
525701,1
697296,1
1594242,1
1772858,1
799318,1
1819822,1
222388,1
1476700,1
1281296,1
396465,1
230216,1
616222,1
1552925,1
1321535,1
1518791,1
1583135,1
984783,1
1181571,1
1782391,1
226154,1
1477367,1
271749,1
1269951,1
1923109,1
763621,1
155997,1
1122417,1
1056241,1
501895,1
436773,1
1879815,1
1149892,1
1483709,1
1826305,1
101158,1
1613516,1
1499933,1
395735,1
1330721,1
1048370,1
908960,1
1907858,1
308357,1
11759,1
1540474,1
382758,1
516817,1
1950877,1
1050681,1
1408606,1
1193372,1
741541,1
579475,1
464959,1
387287,1
1295577,1
806303,1
136551,1
1735480,1
868203,1
528600,1
151380,1
488843,1
1149847,1
1760767,1
422669,1
692134,1
1728685,1
1537227,1
839147,1
1421037,1
1571061,1
903009,1
483605,1
1176182,1
886350,1
1726819,1
773682,1
1587498,1
71619,1
941161,1
511273,1
221179,1
1944389,1
41616,1
1215977,1
864441,1
1352092,1
1773500,1
1938075,1
1354318,1
1325576,1
1433342,1
1528735,1
1371494,1
1408839,1
852824,1
1464208,1
213622,1
1134359,1
794964,1
1085826,1
506551,1
1719872,1
608647,1
1296345,1
994418,1
329270,1
1677779,1
427645,1
157810,1
1505656,1
594736,1
966069,1
642609,1
377382,1
1841274,1
259911,1
1491172,1
1391239,1
1329677,1
16100,1
790472,1
798349,1
285579,1
1115055,1
1067924,1
1786912,1
1132326,1
1576343,1
1830282,1
1067753,1
1586375,1
648933,1
442954,1
1294229,1
1570902,1
176172,1
1631312,1
1134487,1
1721537,1
1916092,1
1344843,1
931289,1
1073125,1
288006,1
71399,1
8491,1
607285,1
1647439,1
376043,1
691657,1
1881091,1
929215,1
1212273,1
1784714,1
1248953,1
1628392,1
1412845,1
687933,1
1953505,1
1506052,1
1404209,1
1486629,1
1329084,1
983278,1
1735855,1
1604665,1
55363,1
70975,1
717710,1
472129,1
1058159,1
721391,1
1889205,1
1127483,1
838544,1
1714017,1
1028974,1
1696509,1
1374459,1
792557,1
367303,1
4739,1
1530477,1
1362628,1
161135,1
130785,1
216977,1
1148453,1
1849158,1
812582,1
239579,1
1190381,1
881685,1
1229376,1
1728989,1
1171606,1
1766262,1
905369,1
508679,1
1356378,1
66277,1
1924135,1
1607737,1
1822134,1
1674340,1
323390,1
79342,1
953411,1
1485067,1
828806,1
1464714,1
123917,1
1282417,1
1299036,1
284049,1
574443,1
1413389,1
1505426,1
559113,1
1364400,1
381841,1
911392,1
1353420,1
354947,1
159491,1
681879,1
293617,1
1368947,1
1314358,1
1503896,1
864563,1
1726554,1
582405,1
1419944,1
1292296,1
1415149,1
125783,1
797805,1
1041760,1
522331,1
1554657,1
102302,1
620024,1
139388,1
1195556,1
410888,1
1650021,1
1275605,1
1699387,1
515847,1
1805409,1
303032,1
125363,1
1321506,1
1645230,1
1179207,1
1765887,1
417286,1
1910354,1
1490432,1
1912187,1
588147,1
1550032,1
220455,1
214892,1
948284,1
1098051,1
1016306,1
1104646,1
1618393,1
55196,1
1860572,1
1196644,1
1359660,1
1885842,1
773995,1
1797889,1
451651,1
668987,1
1219576,1
1257837,1
1799557,1
539896,1
1347352,1
636549,1
229533,1
683738,1
1505689,1
833138,1
893639,1
1813727,1
1025398,1
1079570,1
981823,1
762355,1
1452088,1
1103215,1
563293,1
126639,1
1176406,1
971690,1
767490,1
1065239,1
1808091,1
1026592,1
1490012,1
534845,1
171410,1
1743944,1
1106940,1
1783661,1
521315,1
1073078,1
316292,1
1142473,1
1858549,1
1030645,1
1051722,1
513803,1
1082557,1
1921831,1
358586,1
1430110,1
1453344,1
241414,1
1631975,1
931244,1
1510677,1
499991,1
288684,1
367263,1
465117,1
700541,1
586912,1
117914,1
960977,1
928687,1
828327,1
166928,1
413319,1
803559,1
1883266,1
1396200,1
1810796,1
1165367,1
631016,1
1209681,1
821692,1
962637,1
1458198,1
1031018,1
1742375,1
1107874,1
1783810,1
466035,1
558610,1
803496,1
143558,1
671811,1
1503672,1
581853,1
1584905,1
1652336,1
488368,1
718486,1
737530,1
341104,1
1612605,1
1236453,1
1496289,1
481074,1
278510,1
907060,1
371674,1
693214,1
1898122,1
1032346,1
988796,1
293288,1
1098048,1
1487504,1
1551530,1
921506,1
573288,1
1891254,1
716038,1
1194856,1
638073,1
1349331,1
1819634,1
1906479,1
1735561,1
351356,1
248585,1
462618,1
23725,1
1659702,1
1130570,1
238475,1
1184545,1
419152,1
443818,1
1008783,1
349120,1
1756295,1
526947,1
185302,1
930566,1
1596650,1
1429866,1
1099164,1
1166044,1
1850766,1
1585273,1
1045748,1
1741630,1
371216,1
1697391,1
1073158,1
706161,1
1515028,1
470583,1
1456294,1
329824,1
881197,1
1156150,1
681815,1
1663647,1
900104,1
791094,1
608729,1
185702,1
118148,1
1375452,1
37197,1
1587544,1
1469384,1
353101,1
1136882,1
1102589,1
1753650,1
8354,1
1268056,1
413984,1
309231,1
537228,1
1804329,1
1621900,1
617647,1
867781,1
703964,1
1635109,1
142229,1
289413,1
1537712,1
265402,1
1478313,1
1908247,1
625052,1
215018,1
877535,1
1858786,1
1327837,1
1154477,1
1334987,1
1580038,1
928047,1
1493363,1
590194,1
1502239,1
535745,1
613583,1
411113,1
952132,1
508952,1
1370487,1
821074,1
1725651,1
1210411,1
1482793,1
346422,1
1899235,1
385284,1
1852058,1
1909778,1
1423046,1
1906621,1
1357874,1
1861774,1
870706,1
1466519,1
1697284,1
338861,1
1943343,1
1211383,1
591360,1
1002754,1
281771,1
845239,1
1037623,1
1033557,1
696374,1
1287029,1
1757091,1
413610,1
1544774,1
1668423,1
1886704,1
1878674,1
1346234,1
1321855,1
335188,1
1786927,1
1861689,1
571385,1
191555,1
519990,1
1798292,1
840215,1
949239,1
868558,1
1949340,1
1941009,1
189623,1
428901,1
1743803,1
840744,1
1260184,1
1354528,1
703145,1
311907,1
949852,1
213631,1
957752,1
1843195,1
960357,1
598091,1
1364562,1
59101,1
1298747,1
1415490,1
1398424,1
1141694,1
90670,1
1386828,1
689082,1
906162,1
96275,1
1228497,1
1034114,1
1116255,1
809190,1
1014393,1
696730,1
893588,1
1546540,1
452458,1
809231,1
471088,1
1720040,1
1726466,1
1301601,1
709492,1
1602159,1
402627,1
1509777,1
138337,1
1569323,1
1028755,1
1265988,1
995048,1
1818027,1
452900,1
1341153,1
892371,1
1784502,1
1246865,1
252462,1
1767389,1
1209760,1
258345,1
1465367,1
846529,1
1084980,1
1394000,1
1439415,1
915755,1
554677,1
1482940,1
1259,1
1072257,1
1710279,1
466088,1
1953922,1
425406,1
473369,1
1953023,1
152770,1
689933,1
964201,1
1804466,1
1600209,1
734657,1
1177719,1
490014,1
1353323,1
657634,1
248195,1
375208,1
302187,1
1856792,1
455970,1
316124,1
1750060,1
1374680,1
125841,1
971819,1
987409,1
22566,1
956380,1
875139,1
358870,1
678773,1
168236,1
369076,1
1320732,1
1351192,1
682459,1
1329702,1
1777994,1
666206,1
1442907,1
1593274,1
346897,1
489851,1
1749383,1
582851,1
1005614,1
611233,1
78968,1
1221560,1
1491330,1
751584,1
1251693,1
1650676,1
376241,1
1564644,1
1226106,1
236270,1
1268228,1
653495,1
576479,1
803875,1
1499528,1
786040,1
644010,1
913160,1
1210122,1
1120091,1
1656883,1
1540717,1
137498,1
1041707,1
36877,1
1487500,1
689785,1
1021098,1
428636,1
1799069,1
1708872,1
485240,1
760866,1
1363324,1
684463,1
1349451,1
277494,1
913337,1
1250911,1
749941,1
130949,1
1363847,1
83938,1
322223,1
1585210,1
1925856,1
1318259,1
1189310,1
1415760,1
894624,1
1409690,1
1527876,1
170391,1
127623,1
739667,1
272930,1
1767774,1
1689112,1
1816257,1
490788,1
919161,1
1177091,1
495457,1
638091,1
1343342,1
1171767,1
1123652,1
1409766,1
844987,1
1232649,1
1920583,1
210005,1
694542,1
268279,1
795858,1
1637478,1
323150,1
1850185,1
1534331,1
903607,1
1051917,1
177447,1
422666,1
638602,1
895503,1
198945,1
688652,1
1285034,1
1487048,1
353612,1
1317963,1
730829,1
1580204,1
1244784,1
1773238,1
693176,1
1958225,1
166757,1
929129,1
1306854,1
249796,1
1411853,1
58442,1
1216010,1
445301,1
1593331,1
997620,1
253600,1
188803,1
495358,1
1842421,1
1853801,1
1433965,1
944547,1
1529497,1
1846274,1
618474,1
1010444,1
414785,1
385243,1
1208810,1
1615114,1
711719,1
1274625,1
518578,1
658667,1
1542947,1
1510344,1
107632,1
202926,1
1127409,1
1338457,1
499853,1
955535,1
1119525,1
1865003,1
1358630,1
1651992,1
1803309,1
1307931,1
1873821,1
735840,1
1643493,1
399022,1
183595,1
1421112,1
1016954,1
1928262,1
1325382,1
421899,1
266067,1
1406794,1
1820062,1
910002,1
302875,1
1770472,1
559092,1
1705704,1
1265245,1
1818613,1
1167636,1
603480,1
13657,1
221459,1
1145164,1
828142,1
551615,1
1616221,1
1216635,1
1704449,1
11155,1
1669749,1
1486652,1
212801,1
101982,1
690151,1
178013,1
236374,1
71231,1
891288,1
1644822,1
1938868,1
1266985,1
1051301,1
787776,1
1298389,1
1229617,1
1801035,1
368672,1
287793,1
1882918,1
816243,1
548298,1
1459047,1
1775370,1
668799,1
1080346,1
1713211,1
827430,1
759177,1
1149201,1
1135620,1
1580345,1
937948,1
1332997,1
1001784,1
994198,1
529812,1
1733557,1
1140387,1
459121,1
814500,1
502946,1
542166,1
1908154,1
824604,1
1777413,1
668786,1
1728396,1
1189579,1
1760119,1
1829020,1
693403,1
512850,1
156297,1
808010,1
261897,1
41428,1
118377,1
1876396,1
926889,1
1879610,1
1198111,1
696846,1
572197,1
1698922,1
1151803,1
1534070,1
246114,1
568376,1
301539,1
1410602,1
1323540,1
566635,1
1876485,1
1613325,1
1683459,1
639741,1
285086,1
1626623,1
1207305,1
1207112,1
161785,1
106889,1
1083080,1
1567009,1
997008,1
1582918,1
313431,1
1701546,1
463093,1
1315669,1
160601,1
1575777,1
1923586,1
489035,1
314398,1
935993,1
1247381,1
1640925,1
1626445,1
691699,1
676967,1
833555,1
250017,1
1005578,1
1523201,1
1652601,1
395455,1
1526277,1
178746,1
1838352,1
1112765,1
517472,1
408403,1
1077617,1
406630,1
256825,1
1256798,1
1871830,1
1959418,1
264281,1
584238,1
337994,1
1243215,1
1357651,1
437994,1
828793,1
860068,1
605980,1
436127,1
1058910,1
1624971,1
1460135,1
1169034,1
1164500,1
326373,1
1174149,1
199159,1
1074931,1
547644,1
414059,1
29680,1
1902654,1
944001,1
1088512,1
1579577,1
511038,1
147021,1
633149,1
1261861,1
982093,1
1278584,1
1414087,1
645783,1
1940388,1
465330,1
276622,1
1322107,1
654394,1
522029,1
1733477,1
535859,1
267949,1
1910201,1
1780882,1
1747214,1
925302,1
721013,1
1578781,1
1934054,1
1115998,1
110576,1
437424,1
369354,1
24343,1
68283,1
1882444,1
430884,1
613244,1
1959323,1
1152673,1
730627,1
728349,1
1296655,1
1810659,1
1570283,1
1323069,1
1473824,1
228200,1
1228571,1
851709,1
1744600,1
172719,1
1405233,1
1126171,1
289301,1
1567072,1
739467,1
1364171,1
389631,1
1774100,1
430032,1
1689578,1
1224960,1
50757,1
1144173,1
1135713,1
374825,1
1237485,1
455972,1
954364,1
782871,1
1196402,1
3636,1
177231,1
886968,1
85464,1
838900,1
1311946,1
178661,1
447812,1
746903,1
1071743,1
1052302,1
1350888,1
982766,1
155807,1
248157,1
1183808,1
273563,1
979304,1
202093,1
563950,1
1617569,1
705953,1
261462,1
681894,1
1919250,1
1823733,1
174346,1
1358357,1
649451,1
1240036,1
1495878,1
1648625,1
949998,1
427850,1
907367,1
596195,1
850735,1
179849,1
78966,1
264913,1
1687359,1
1382783,1
183141,1
1283569,1
923920,1
1413824,1
19571,1
642648,1
1518145,1
20651,1
792057,1
550084,1
1503237,1
691742,1
468851,1
637486,1
1436952,1
1895868,1
1677981,1
1380358,1
153215,1
1256206,1
570937,1
1759716,1
102976,1
544514,1
1836755,1
688798,1
1340403,1
941256,1
410229,1
1856675,1
1395256,1
1344024,1
1019509,1
653300,1
1119553,1
257781,1
280954,1
1866649,1
1197296,1
1280904,1
1525835,1
354094,1
261017,1
1753545,1
1637319,1
1718266,1
1472718,1
224159,1
1479038,1
1432640,1
646517,1
391480,1
1950456,1
624931,1
1887722,1
1842253,1
473905,1
1248975,1
1078202,1
668285,1
1558557,1
211967,1
1345742,1
1749618,1
1018504,1
1770596,1
1699601,1
1864229,1
985042,1
453920,1
1607498,1
782306,1
31922,1
220096,1
815581,1
939941,1
394125,1
1941588,1
745349,1
1559728,1
1303014,1
759672,1
1322711,1
252229,1
877419,1
596317,1
1204947,1
588249,1
760315,1
228697,1
1398969,1
206605,1
300731,1
1944049,1
1843423,1
305977,1
124472,1
1802795,1
1043013,1
1364248,1
1130862,1
134608,1
389518,1
999417,1
834251,1
1691816,1
167603,1
609289,1
1139087,1
1452999,1
1185212,1
1696882,1
514939,1
186646,1
794344,1
411643,1
1442360,1
315438,1
61986,1
402494,1
1052458,1
1214237,1
1453813,1
702303,1
1595407,1
1672344,1
920907,1
1074283,1
616165,1
919835,1
1574823,1
1622091,1
1404222,1
616575,1
452892,1
1496048,1
984839,1
656576,1
18487,1
1659240,1
539754,1
687963,1
1925317,1
1471022,1
902730,1
814428,1
1166421,1
1296062,1
1856344,1
580622,1
214079,1
823643,1
1624678,1
825746,1
211082,1
113981,1
1843672,1
1874560,1
998135,1
85143,1
1848375,1
984852,1
426462,1
1937957,1
891247,1
1572957,1
879958,1
1732528,1
476925,1
1817874,1
1283372,1
687156,1
1296352,1
528613,1
571540,1
560375,1
971177,1
556612,1
802323,1
1213290,1
1183408,1
1677873,1
305778,1
1178164,1
699135,1
1271084,1
1286758,1
1130806,1
1594127,1
33637,1
367682,1
1462711,1
1016332,1
1643743,1
209434,1
1145202,1
757212,1
1565342,1
1749810,1
1364009,1
1421566,1
328338,1
845527,1
1536354,1
197354,1
1599824,1
102528,1
1399355,1
982840,1
1387715,1
1863567,1
1586471,1
477046,1
248538,1
624457,1
791266,1
522011,1
772122,1
1001310,1
488086,1
129896,1
1775168,1
1796523,1
1785337,1
964681,1
1555828,1
1542642,1
416017,1
865980,1
1306033,1
1801809,1
193247,1
1486101,1
1682825,1
517703,1
962390,1
240628,1
1304958,1
732684,1
1944583,1
1698979,1
1288309,1
400470,1
1606022,1
367308,1
960520,1
997730,1
623363,1
1075913,1
602801,1
236027,1
1086467,1
118296,1
185887,1
1501947,1
918968,1
762739,1
1685479,1
825146,1
781203,1
465260,1
1363535,1
1411663,1
1554016,1
615830,1
1512131,1
1266538,1
54092,1
980952,1
774442,1
1372460,1
1832388,1
545304,1
1069637,1
526469,1
414051,1
1561024,1
1251273,1
1715301,1
1478544,1
673677,1
79136,1
448027,1
102592,1
1873580,1
1424396,1
1395103,1
1787740,1
1705564,1
1742710,1
996893,1
1274114,1
637757,1
1607617,1
1291802,1
1127541,1
170197,1
38880,1
811747,1
1425872,1
1211079,1
432521,1
968390,1
861453,1
785935,1
168422,1
1795523,1
1700702,1
1458262,1
269742,1
1933864,1
757556,1
1667452,1
1081584,1
1346266,1
654560,1
403383,1
1394160,1
1833453,1
415672,1
1903840,1
718363,1
978277,1
1057329,1
1683199,1
446436,1
1533274,1
1856479,1
1434639,1
703566,1
1437772,1
320703,1
656768,1
316450,1
894634,1
807446,1
1237217,1
290272,1
904608,1
261062,1
248256,1
64909,1
1901742,1
1594360,1
1870805,1
888652,1
10706,1
952231,1
1756336,1
1320702,1
704786,1
1765771,1
313179,1
989677,1
749690,1
787068,1
1707043,1
856669,1
392159,1
1708847,1
636950,1
939693,1
1323142,1
343550,1
405901,1
38958,1
1505328,1
1705056,1
1915465,1
1523463,1
1442946,1
1701336,1
117116,1
1040735,1
132975,1
820386,1
1266940,1
50827,1
30649,1
1864788,1
597250,1
197009,1
1711747,1
406035,1
1782070,1
1642648,1
633093,1
813668,1
1179960,1
894152,1
1529702,1
493181,1
1601853,1
54410,1
436389,1
1800085,1
192946,1
294034,1
1440914,1
1928194,1
1790409,1
908998,1
1320018,1
270528,1
1213655,1
815853,1
1398149,1
676166,1
1374973,1
1384493,1
563289,1
817229,1
1220273,1
1503139,1
44290,1
1510668,1
526234,1
1661316,1
404263,1
809705,1
871546,1
428973,1
937331,1
572116,1
555656,1
546983,1
1601092,1
1924901,1
654553,1
91763,1
913671,1
223263,1
1151933,1
1538627,1
971795,1
1470984,1
1521373,1
976276,1
1535727,1
1665149,1
799544,1
199530,1
205480,1
153340,1
1698714,1
1547190,1
448752,1
1485023,1
743934,1
43891,1
1332829,1
1259687,1
1917457,1
989968,1
1628904,1
1181808,1
997869,1
838379,1
1520511,1
777148,1
1596022,1
1575741,1
1751988,1
397756,1
744121,1
1050394,1
1224349,1
711788,1
391952,1
1735983,1
987692,1
196375,1
1465298,1
275948,1
1347354,1
267461,1
414456,1
867566,1
1640225,1
1646043,1
788234,1
1804429,1
124503,1
498008,1
1096321,1
823809,1
807294,1
480400,1
1856204,1
1047036,1
629976,1
1335807,1
47770,1
1602242,1
1477259,1
479596,1
239368,1
76685,1
1658699,1
1108492,1
1420612,1
821322,1
151677,1
1469418,1
